0,1,2,3,4,5,6,7,8,9,10,11
0.651,0.592,0.647,0.494,0.683,0.919,1.0,0.933,0.708,0.715,0.693,0.663
0.506,0.135,0.109,0.102,0.104,0.075,0.137,0.217,0.116,0.095,0.116,1.0
1.0,0.21,0.047,0.066,0.104,0.031,0.103,0.421,0.061,0.036,0.151,0.414
1.0,0.526,0.53,0.444,0.577,0.332,0.422,0.532,0.292,0.25,0.257,0.603
1.0,0.433,0.301,0.258,0.212,0.152,0.222,0.335,0.177,0.212,0.106,0.74
0.369,0.149,0.157,0.178,0.35,0.147,0.307,0.108,0.207,0.161,0.364,1.0
0.334,0.124,0.085,0.325,0.931,0.093,0.356,0.147,0.3,0.227,0.29,1.0
0.316,0.203,0.128,0.229,1.0,0.149,0.13,0.17,0.207,0.134,0.181,0.347
0.384,0.175,0.352,0.696,1.0,0.203,0.425,0.236,0.242,0.225,0.369,0.874
0.573,0.268,0.242,0.244,0.483,0.631,0.204,0.242,0.618,1.0,0.248,0.531
0.386,0.138,0.127,0.132,0.231,1.0,0.359,0.448,0.163,0.356,0.124,0.177
0.447,0.39,0.207,0.211,0.318,1.0,0.259,0.232,0.253,0.305,0.256,0.333
0.206,0.303,0.324,0.34,0.338,0.542,0.69,0.866,0.638,1.0,0.791,0.243
0.427,0.383,0.816,0.295,0.338,0.605,0.85,1.0,0.356,0.268,0.29,0.449
0.146,0.146,0.56,0.126,0.134,0.315,0.791,1.0,0.21,0.181,0.153,0.274
0.784,0.488,0.466,0.427,0.473,0.468,0.575,0.925,0.614,0.365,0.261,1.0
0.227,0.357,0.649,0.344,0.405,0.435,0.837,1.0,0.543,0.504,0.275,0.214
1.0,0.137,0.112,0.127,0.148,0.068,0.098,0.25,0.1,0.11,0.123,0.471
1.0,0.259,0.125,0.093,0.166,0.075,0.151,0.68,0.107,0.091,0.101,0.32
1.0,0.442,0.302,0.348,0.552,0.215,0.35,0.651,0.272,0.374,0.24,0.735
1.0,0.503,0.424,0.439,0.338,0.217,0.189,0.505,0.182,0.434,0.247,0.619
0.182,0.257,0.292,0.276,0.404,0.31,0.398,0.187,0.447,0.409,0.638,1.0
0.292,0.127,0.119,0.174,0.426,0.097,0.363,0.15,0.337,0.202,0.161,1.0
0.769,0.523,0.316,0.445,0.774,0.358,0.371,0.35,0.563,0.363,0.364,1.0
0.687,0.187,0.203,0.336,0.682,0.183,0.341,0.207,0.209,0.208,0.136,1.0
0.506,0.277,0.201,0.254,0.668,0.738,0.157,0.218,0.914,1.0,0.207,0.452
