0,1,2,3,4,5,6,7,8,9,10,11
24.937,37.465,177.22,-216.443,56.3,202.348,68.838,-33.635,-24.275,92.399,-37.411,-14.199
43.154,-43.433,73.812,-5.868,-52.972,57.5,-6.984,41.17,-1.751,-1.886,15.444,-29.55
46.638,69.172,103.23,-17.005,-37.423,47.573,-0.734,25.383,-10.965,-44.947,10.023,-40.109
48.717,98.608,73.54,11.212,-12.181,5.464,-27.333,8.613,-37.387,-12.888,-4.647,-16.206
48.772,70.868,58.046,12.729,-11.11,22.801,-17.896,-17.476,-21.478,10.794,-6.544,-29.117
45.262,6.839,49.118,25.602,-43.197,-18.467,-27.858,9.556,-4.142,14.951,-13.184,-27.756
46.314,44.637,99.117,-12.556,-55.907,20.29,-6.513,28.878,-32.384,-21.997,0.523,-23.05
48.768,80.767,33.53,14.409,-22.318,-21.217,-19.796,9.158,-12.629,-4.144,7.286,-2.888
47.163,20.017,54.56,16.818,-19.778,25.001,-12.037,29.976,-17.221,-12.209,-29.747,-21.995
45.691,3.814,42.36,19.368,-17.658,20.175,8.911,-12.345,-14.585,6.772,-7.987,-11.118
45.136,38.312,82.089,-18.954,-22.561,6.069,6.327,-6.135,-5.324,-12.879,1.737,11.339
47.233,56.852,47.303,35.138,-16.351,-12.623,-3.537,7.106,0.204,-7.628,6.74,8.867
48.206,43.875,91.281,4.158,-5.398,-3.83,14.965,17.077,-27.055,30.664,6.621,15.349
46.435,23.468,63.875,38.736,-24.184,-22.505,10.371,-1.376,-9.87,20.843,-10.58,12.963
43.804,54.694,40.514,11.025,-7.177,-15.406,-17.283,-25.638,12.328,12.368,1.878,-6.291
44.626,63.829,31.558,-16.109,-4.049,15.943,-11.271,-0.635,12.83,-9.7,-8.006,6.321
44.638,44.68,36.486,-10.699,4.973,-3.0,-6.708,-14.06,6.37,35.078,-10.038,-15.326
45.664,7.285,54.104,40.802,-36.46,18.944,8.282,-5.45,-33.701,2.4,0.916,-20.948
46.603,72.552,110.302,-16.14,-23.995,37.596,-19.635,17.442,-26.196,-25.377,6.919,-33.553
48.556,81.463,64.523,10.016,-8.414,6.642,-25.597,18.42,-15.734,-13.818,0.754,-26.294
49.1,67.134,60.859,34.284,-29.074,18.156,-22.845,-5.746,-9.593,-19.742,0.023,-26.736
45.292,17.743,36.19,47.675,-33.932,-9.534,-36.887,-16.272,1.779,19.172,-8.904,-28.263
46.071,47.12,93.738,-3.969,-49.213,33.385,-11.567,6.434,-33.478,-26.193,19.724,-22.565
47.748,66.9,55.726,25.164,-18.755,9.588,-22.123,2.218,-3.107,-21.669,10.215,-5.24
47.815,43.422,39.785,39.733,-19.336,31.77,-15.413,0.585,-17.624,-27.509,-15.439,-24.928
45.396,-9.113,22.617,37.488,-18.086,20.461,13.803,1.526,-22.593,-11.212,-22.061,-7.481
45.141,36.016,75.195,-12.502,-18.012,2.014,20.233,-7.134,-16.044,-28.317,23.498,16.316
47.414,50.998,44.86,36.11,-18.641,-45.709,-6.036,2.406,6.655,-9.944,-11.327,5.322
47.523,48.851,70.284,-4.166,7.339,4.533,19.17,1.012,15.079,-0.76,11.607,16.296
46.023,-4.239,66.748,47.766,-28.706,-55.893,15.168,-4.283,16.857,13.638,-12.685,26.947
44.031,61.663,43.418,12.128,2.222,-8.332,-2.522,-16.758,25.181,-2.49,14.027,-6.872
46.322,62.424,19.593,29.904,-9.479,-4.694,-16.138,4.389,6.774,11.479,10.429,-2.812
45.62,29.474,30.338,2.687,19.335,8.572,-2.218,-12.867,14.544,30.135,5.785,-26.912
44.481,5.085,81.777,-0.275,-21.604,12.147,3.419,13.465,-27.723,7.38,-23.78,-10.095
47.215,72.376,81.695,-30.137,-14.466,20.294,-21.022,21.529,-25.534,7.644,6.215,-5.749
48.559,77.571,63.67,-1.635,-20.801,14.147,-27.267,22.361,-13.602,-11.117,-2.49,-24.622
48.741,63.249,68.247,-5.54,0.353,37.762,-2.629,14.214,-4.53,-14.464,-2.191,-26.738
45.372,20.482,57.039,25.806,-28.088,-16.086,-14.962,8.794,-0.406,10.436,-21.921,-25.277
45.358,53.343,103.548,-38.125,-28.134,32.397,-6.463,13.411,-24.553,-18.176,-8.424,-27.767
48.236,61.643,36.103,14.26,-16.61,-5.029,13.065,9.369,7.689,-4.123,23.888,3.896
47.582,53.67,37.859,25.369,-11.102,41.026,-10.063,-2.587,-1.784,-25.525,-15.062,-29.45
46.049,12.142,35.273,13.83,-22.379,28.754,14.807,-1.505,-19.776,-3.989,-2.949,-12.56
45.618,43.411,89.343,-15.998,-11.606,0.914,11.103,6.071,-17.71,-1.751,7.682,18.665
47.343,64.217,55.169,23.904,-2.809,-6.425,-6.472,-3.56,5.802,-8.814,0.052,-1.625
48.624,71.021,58.235,3.284,7.058,-11.978,11.038,-1.686,-16.724,7.251,10.857,1.364
46.292,9.13,39.535,48.086,-24.51,-42.35,-6.667,-6.394,11.405,17.411,-3.677,-7.328
46.275,90.186,70.514,-20.212,16.254,-8.12,8.92,-21.278,0.104,8.586,8.436,15.475
48.822,64.52,65.637,33.376,-5.341,-15.795,3.694,11.478,-17.268,6.699,8.437,22.316
48.334,48.339,43.199,1.417,19.614,5.328,14.062,-5.875,-13.15,11.336,2.909,8.464
47.331,18.1,59.057,20.121,6.285,2.902,3.167,0.356,13.154,4.77,-3.766,7.17
48.543,45.41,75.969,25.32,-30.584,22.07,-3.292,-15.485,-26.62,-13.556,9.998,-22.87
45.395,65.493,63.507,0.95,-11.458,-18.178,-21.738,-12.764,-24.04,-13.944,-0.818,-28.872
45.389,21.434,41.847,-5.059,-27.113,0.979,-14.098,13.632,19.285,27.816,-18.235,-3.315
44.582,68.631,29.443,-38.396,-11.333,-16.079,21.42,-6.082,-12.011,-12.333,23.6,15.485
45.437,46.801,5.12,52.727,-5.827,-54.146,-14.373,8.568,7.837,-11.42,-40.007,10.209
